text_id,model,connector_type,n_pairs,n_valid_pairs,x3co_similarity_mean,x3co_similarity_sd,pair_coverage
BASIC_CHATGPT_NATIVE_001,chatgpt_native,CCONJ,22,9,0.3444492292116268,0.5142287293990138,0.4090909090909091
BASIC_CHATGPT_NATIVE_001,chatgpt_native,SCONJ,22,3,0.3322961681282497,0.5782484806051496,0.13636363636363635
BASIC_CLAUDE_NATIVE_001,claude_native,CCONJ,23,6,0.5499580961410855,0.5380168187180234,0.2608695652173913
BASIC_CLAUDE_NATIVE_001,claude_native,SCONJ,23,0,NA,NA,0
BASIC_GEMINI_NATIVE_001,gemini_native,CCONJ,26,6,0.07868277380644415,0.4843268839284139,0.23076923076923078
BASIC_GEMINI_NATIVE_001,gemini_native,SCONJ,26,1,0.163860999724266,NA,0.038461538461538464
HUMAN_BASELINE_001,human,CCONJ,31,8,0.4872078815900115,0.486246439325395,0.25806451612903225
HUMAN_BASELINE_001,human,SCONJ,31,4,0.32774797378936305,0.25034205224927325,0.12903225806451613
