model,connector_type,lm_connector_continuity_mean,matched_human_continuity_mean,human_centered_difference_mean,human_centered_abs_difference_mean,n_valid_transitions
chatgpt_native,CCONJ,0.3444492292116268,0.5709847623607284,-0.22653553314910158,0.3812847029428222,9
chatgpt_native,SCONJ,0.3322961681282497,0.49035939249901644,-0.15806322437076673,0.4978236293714225,3
claude_native,CCONJ,0.5499580961410855,0.5248979468151127,0.02506014932597276,0.12276267934311623,6
gemini_native,CCONJ,0.07868277380644415,0.3988263183447637,-0.3201435445383195,0.7157338181882331,6
gemini_native,SCONJ,0.163860999724266,0.49035939249901644,-0.32649839277475046,0.32649839277475046,1
