text_id,y1_n_lexical_tokens,y1_n_normed,y1_norm_coverage,y1_mean_concreteness,y1_mean_imageability,y1_mean_abstractness_proxy,n_tokens_total,n_words_no_punct,n_content,n_function,n_x_tokens,y2_content_function_ratio,y6_prop_adp,y6_prop_cconj,y6_prop_sconj,y6_prop_det,y6_prop_pron,y6_prop_aux,y6_prop_part,y3a_n_nouns,y3a_n_pronouns,y3a_noun_pronoun_ratio,y3a_log_noun_pronoun_ratio,y3b_n_adjacent_sentence_pairs,y3b_n_pairs_with_next_pronouns,y3b_total_previous_nouns,y3b_total_next_pronouns,y3b_adjacent_sentence_noun_pronoun_ratio,y3b_mean_adjacent_pair_ratio,y3b_mean_adjacent_log_pair_ratio,y3d_ratio_at_distance_2,y3d_ratio_at_last_distance,y3d_loss_distance2_to_last,y3d_retention_distance2_to_last,y3d_loss_rate_distance2_to_last,y3d_distance_slope,y3d_log_distance_slope
BASIC_CHATGPT_NATIVE_001,440,352,0.8,3.270792140151515,3.783015625,-3.270792140151515,512,440,237,203,0,1.167487684729064,0.17733990147783252,0.11822660098522167,0.06403940886699508,0.22660098522167488,0.2019704433497537,0.14285714285714285,0.06896551724137931,100,41,2.439,0.884,25,19,72,41,1.756,2.482,0.487,1.6,1.722,-0.122,1.076,-0.076,0.051,0.03
BASIC_CLAUDE_NATIVE_001,326,269,0.8251533742331288,3.313631970260223,3.7985446096654276,-3.313631970260223,384,327,194,132,1,1.4696969696969697,0.13636363636363635,0.13636363636363635,0.030303030303030304,0.22727272727272727,0.26515151515151514,0.17424242424242425,0.030303030303030304,85,35,2.429,0.879,25,18,61,35,1.743,2.208,0.414,1.441,1.345,0.096,0.933,0.067,-0.049,-0.037
BASIC_GEMINI_NATIVE_001,414,346,0.8357487922705314,3.363062620423892,3.878966281310212,-3.363062620423892,559,484,239,177,66,1.3502824858757063,0.1977401129943503,0.0847457627118644,0.05084745762711865,0.22033898305084745,0.24858757062146894,0.1638418079096045,0.03389830508474576,95,44,2.159,0.764,32,20,53,44,1.205,1.383,0.158,1.295,1.056,0.239,0.815,0.185,-0.064,-0.023
HUMAN_BASELINE_001,547,443,0.8098720292504571,3.525867945823928,4.0153359668924,-3.525867945823928,631,552,310,237,1,1.3080168776371308,0.1940928270042194,0.10548523206751055,0.05907172995780591,0.2109704641350211,0.1940928270042194,0.20253164556962025,0.03375527426160337,118,46,2.565,0.935,31,25,92,44,2.091,2.647,0.559,2,1.925,0.075,0.963,0.037,-0.015,-0.003
