text_id,y3a_n_nouns,y3a_n_pronouns,y3a_noun_pronoun_ratio,y3a_log_noun_pronoun_ratio,y3b_n_adjacent_sentence_pairs,y3b_n_pairs_with_next_pronouns,y3b_total_previous_nouns,y3b_total_next_pronouns,y3b_adjacent_sentence_noun_pronoun_ratio,y3b_mean_adjacent_pair_ratio,y3b_mean_adjacent_log_pair_ratio,y3d_ratio_at_distance_2,y3d_ratio_at_last_distance,y3d_loss_distance2_to_last,y3d_retention_distance2_to_last,y3d_loss_rate_distance2_to_last,y3d_distance_slope,y3d_log_distance_slope
BASIC_CHATGPT_NATIVE_001,100,41,2.439,0.884,25,19,72,41,1.756,2.482,0.487,1.6,1.722,-0.122,1.076,-0.076,0.051,0.03
BASIC_CLAUDE_NATIVE_001,85,35,2.429,0.879,25,18,61,35,1.743,2.208,0.414,1.441,1.345,0.096,0.933,0.067,-0.049,-0.037
BASIC_GEMINI_NATIVE_001,95,44,2.159,0.764,32,20,53,44,1.205,1.383,0.158,1.295,1.056,0.239,0.815,0.185,-0.064,-0.023
HUMAN_BASELINE_001,118,46,2.565,0.935,31,25,92,44,2.091,2.647,0.559,2,1.925,0.075,0.963,0.037,-0.015,-0.003
