text_id,n_tokens_total,n_words_no_punct,n_surface_types,n_lemma_types,token_type_ratio,lemma_type_ratio,mean_word_length_chars,n_sentences,mean_sentence_length_words
BASIC_CHATGPT_NATIVE_001,512,440,239,215,0.5431818181818182,0.48863636363636365,6.195454545454545,26,16.923076923076923
BASIC_CLAUDE_NATIVE_001,384,327,223,201,0.6819571865443425,0.6146788990825688,7.036697247706422,26,12.576923076923077
BASIC_GEMINI_NATIVE_001,559,484,285,262,0.5888429752066116,0.5413223140495868,6.045454545454546,33,14.666666666666666
HUMAN_BASELINE_001,631,552,323,285,0.5851449275362319,0.5163043478260869,6.106884057971015,32,17.25
